Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1147,Laricifomes,officinalis,XXVI (26)- Browns Creek,E7,2,5/5/2020,9,6/2/2020,NA
1090,Laricifomes,officinalis,IX (9) - Mt Ellinor II,E7,2,5/20/2020,9,6/12/2020,Fo IX (9) P2 5-20-20
1139,Laricifomes,officinalis,XVII (17)- Breit,E7,2,5/20/2020,9,6/12/2020,Fo XVII (17) Breit P2 5-20-20
1122,Laricifomes,officinalis,XI (11)- Selma,E7,2,5/20/2020,9,6/16/2020,Fo XI Whale... P2 5-20-20
1100,Laricifomes,officinalis,Rattlesnake Ridge,E7,3,5/20/2020,9,6/16/2020,Fo Rattle Snake Ridge P3 5-20-20
1149,Laricifomes,officinalis,XXVIII (28)- Liberty Larch,E8,2,5/20/2020,9,6/22/2020,Fo XXVIII (28) Liberty Larch P2 5-20-20
1084,Laricifomes,officinalis,Emerald Forest,E8,4,5/22/2020,9,6/18/2020,Fo Em. Forest P4 5-22-20
1125,Laricifomes,officinalis,XIV (14)- Mary's Point,E8,2,5/22/2020,9,6/22/2020,Fo XIV Mary's Pt P2 5-22-20
1111,Laricifomes,officinalis,V (5) - Cortes,E7,5,5/22/2020,9,6/26/2020,Fo V P5 5-22-20
1152,Laricifomes,officinalis,XXXII (32)- North Cascades I,E7,2,5/22/2020,9,6/26/2020,Fo XXXII N. Casc. I P2 5-22-20
1148,Laricifomes,officinalis,XXVII (27)- Ellinor Lake,E7,3,6/22/2020,9,7/29/2020,Fo XXVII (27) Ellinor Lake P3 6-22-20
1150,Laricifomes,officinalis,XXX (30)- Humboldt Willow Creek,E6,3,6/22/2020,9,7/29/2020,Fo XXX (30) Humboldt W.C. P3 6-22-20
1102,Laricifomes,officinalis,Rooke,E8,2,6/23/2020,9,7/28/2020,Fo Rooke P2 6-23-20
1075,Laricifomes,officinalis,Bagby Hot Springs,E8,1,6/23/2020,9,7/28/2020,Fo Bagby H.S. P1 6-22-20
1126,Laricifomes,officinalis,XIX (19)- Trudy Cortes I,E6,2,6/24/2020,8,7/30/2020,Fo XIX (19) Trudy Cortes P2 6-24-20
1143,Laricifomes,officinalis,XXIII (23)- Gunclub - Carrie,E6,2,6/24/2020,9,7/30/2020,Fo XXIII (23) Gun Club Carrie P2 6-24-20
1141,Laricifomes,officinalis,XX (20)- Trudy Cortes II,E6,2,6/26/2020,9,8/3/2020,Fo XX (20) Trudy Cortes P2 6-26-20
