Accession Number,Genus,Species,Strain,Location,Pvalue,Inoc Date,Date Frozen,Date Thawed,n Tubes Thawed,n Plates,Viable
1022,Auricularia,nigricans,Hunan,F2,16,2/7/2020,2/21/2020,8/17/2020,1,3,3
1003,Agaricus,bitorquis,Euro II,F1,26,2/7/2020,4/23/2020,9/30/2022,1,6,6
1022,Auricularia,nigricans,Hunan,F2,16,2/7/2020,2/21/2020,9/30/2022,1,6,6
1313,Lentinula,edodes,WW lager 12028,F2,10,2/10/2020,2/19/2020,2/20/2020,2,6,6
1305,Lentinula,edodes,SH 322 #3,F2,11,2/10/2020,2/24/2020,2/25/2020,2,6,6
1299,Lentinula,edodes,MM,F3,18,2/10/2020,2/19/2020,2/20/2020,2,6,6
1304,Lentinula,edodes,SH 1321 #2,F2,12,2/10/2020,2/21/2020,2/22/2020,2,6,6
1095,Fomitopsis,officinalis,MPVW,F1,4,2/26/2020,3/20/2020,3/21/2020,2,6,6
1134,Fomitopsis,officinalis,XLVI (46) - Sacramento,F2,2,2/26/2020,3/16/2020,3/17/2020,2,6,6
1155,Fomitopsis,officinalis,XXXIX (39) - Mud Bay,F1,2,2/26/2020,3/23/2020,3/24/2020,2,6,6
1145,Fomitopsis,officinalis,XXIX (29)- Capitol Forest,F1,2,2/26/2020,3/23/2020,3/24/2020,2,6,6
1137,Fomitopsis,officinalis,XV (15)- Ellinor,F2,3,2/26/2020,3/16/2020,3/17/2020,2,6,6
1080,Fomitopsis,officinalis,Chip,F1,3,2/26/2020,3/20/2020,3/21/2020,2,6,6
1088,Fomitopsis,officinalis,I- Morton,F2,3,2/26/2020,3/17/2020,3/18/2020,2,6,6
1079,Fomitopsis,officinalis,C/D,F2,4,2/26/2020,3/17/2020,3/18/2020,2,6,6
1140,Fomitopsis,officinalis,XVIII (18) #67318 (Ellinor),F1,2,2/26/2020,3/30/2020,4/1/2020,2,6,6
1309,Lentinula,edodes,W4,F2,6,2/26/2020,3/10/2020,3/11/2020,2,6,6
1140,Fomitopsis,officinalis,XVIII (18) #67318 (Ellinor),F1,2,2/26/2020,3/30/2020,1/14/2022,1,4,4
1145,Fomitopsis,officinalis,XXIX (29)- Capitol Forest,F1,2,2/26/2020,3/23/2020,1/14/2022,1,4,4
1095,Fomitopsis,officinalis,MPVW,F1,4,2/26/2020,3/20/2020,1/14/2022,1,4,4
1080,Fomitopsis,officinalis,Chip,F1,3,2/26/2020,3/20/2020,1/14/2022,1,4,4
1147,Fomitopsis,officinalis,XXVI (26)- Browns Creek,E7,2,5/5/2020,6/2/2020,6/3/2020,2,6,6
1153,Fomitopsis,officinalis,XXXIIIa (33a)- North Cascades II,E8,2,5/5/2020,5/28/2020,5/29/2020,2,6,5
1123,Fomitopsis,officinalis,XII (12)- Spider Lake,F1,2,5/5/2020,6/1/2020,6/2/2020,2,6,6
1154,Fomitopsis,officinalis,XXXIV (34)- Slovenia,F1,2,5/5/2020,6/1/2020,6/2/2020,2,6,6
1138,Fomitopsis,officinalis,XVI (16)- Boulder Creek,E8,3,5/5/2020,5/29/2020,5/30/2020,2,6,6
1115,Fomitopsis,officinalis,VII (7)- Dungeness,E7,2,5/5/2020,6/2/2020,6/3/2020,2,6,6
1156,Fomitopsis,officinalis,XXXV (35)- Slovenia II,E8,2,5/5/2020,5/29/2020,5/30/2020,2,6,6
1158,Fomitopsis,officinalis,XXXVII (37)- Gold Creek,E8,2,5/5/2020,5/28/2020,5/29/2020,2,6,6
1089,Fomitopsis,officinalis,IV (4)- Elwha,F1,3,5/5/2020,5/27/2020,5/28/2020,2,6,6
1116,Fomitopsis,officinalis,VIII (8)- #67318,F1,4,5/5/2020,5/27/2020,5/28/2020,2,6,6
1089,Fomitopsis,officinalis,IV (4)- Elwha,F1,3,5/5/2020,5/27/2020,1/14/2022,1,4,4
1116,Fomitopsis,officinalis,VIII (8)- #67318,F1,4,5/5/2020,5/27/2020,1/14/2022,1,4,4
1156,Fomitopsis,officinalis,XXXV (35)- Slovenia II,E8,2,5/5/2020,5/29/2020,1/14/2022,1,4,4
1122,Fomitopsis,officinalis,XI (11)- Selma,E7,2,5/20/2020,6/16/2020,6/17/2020,2,6,6
1139,Fomitopsis,officinalis,XVII (17)- Breit,E7,2,5/20/2020,6/12/2020,6/13/2020,2,6,6
1100,Fomitopsis,officinalis,Rattlesnake Ridge,E7,3,5/20/2020,6/16/2020,6/17/2020,2,6,6
1149,Fomitopsis,officinalis,XXVIII (28)- Liberty Larch,E8,2,5/20/2020,6/22/2020,6/23/2020,2,6,6
1090,Fomitopsis,officinalis,IX (9) - Mt Ellinor II,E7,2,5/20/2020,6/12/2020,6/13/2020,2,6,6
1084,Fomitopsis,officinalis,Emerald Forest,E8,4,5/22/2020,6/18/2020,6/19/2020,2,6,6
1152,Fomitopsis,officinalis,XXXII (32)- North Cascades I,E7,2,5/22/2020,6/26/2020,6/27/2020,2,6,6
1125,Fomitopsis,officinalis,XIV (14)- Mary's Point,E8,2,5/22/2020,6/22/2020,6/23/2020,2,6,6
1111,Fomitopsis,officinalis,V (5) - Cortes,E7,5,5/22/2020,6/26/2020,6/27/2020,2,6,6
1084,Fomitopsis,officinalis,Emerald Forest,E8,4,5/22/2020,6/18/2020,1/14/2022,1,4,4
1148,Fomitopsis,officinalis,XXVII (27)- Ellinor Lake,E7,3,6/22/2020,7/29/2020,7/30/2020,2,6,6
1150,Fomitopsis,officinalis,XXX (30)- Humboldt Willow Creek,E6,3,6/22/2020,7/29/2020,7/30/2020,2,6,6
1075,Fomitopsis,officinalis,Bagby Hot Springs,E8,1,6/23/2020,7/28/2020,7/29/2020,2,6,6
1102,Fomitopsis,officinalis,Rooke,E8,2,6/23/2020,7/28/2020,7/29/2020,2,6,6
1143,Fomitopsis,officinalis,XXIII (23)- Gunclub - Carrie,E6,2,6/24/2020,7/30/2020,8/1/2020,2,6,6
1126,Fomitopsis,officinalis,XIX (19)- Trudy Cortes I,E6,2,6/24/2020,7/30/2020,8/1/2020,2,6,6
1142,Fomitopsis,officinalis,XXII (22)- Near Gun Club,E6,2,6/26/2020,8/6/2020,8/7/2020,2,6,6
